layer,zone,field,when,verdict,quote,text
or/multnomah/portland,IR,setback_front_ft,on_transit_street,stated,or/multnomah/portland/33.150.txt#L574,"[5] For frontages where the maximum building setback applies, there is no minimum setback."
or/multnomah/portland,RM1,max_density_du_per_acre,,stated,"or/multnomah/portland/33.120.txt#L519,L810-L811","Maximum Density none none none none none 1 unit per | B. Maximum density. The maximum densit y for the RMP zone is stated in Table 120 -4. There is | no maximum density for any other multi-dwelling zone. All new housing built, or converted"
or/multnomah/portland,RM1,parking_max_per_unit,unit_lots,stated,"or/multnomah/portland/33.266.txt#L159,L163-L164","Household Living 1 per 2 units No maximum, except 1.35 | Houses, attached houses | and duplexes are exempt."
or/multnomah/portland,RM2,max_density_du_per_acre,,stated,"or/multnomah/portland/33.120.txt#L519,L810-L811","Maximum Density none none none none none 1 unit per | B. Maximum density. The maximum densit y for the RMP zone is stated in Table 120 -4. There is | no maximum density for any other multi-dwelling zone. All new housing built, or converted"
or/multnomah/portland,RM2,parking_max_per_unit,unit_lots,stated,"or/multnomah/portland/33.266.txt#L159,L163-L164","Household Living 1 per 2 units No maximum, except 1.35 | Houses, attached houses | and duplexes are exempt."
or/multnomah/portland,RM3,max_density_du_per_acre,,stated,"or/multnomah/portland/33.120.txt#L519,L810-L811","Maximum Density none none none none none 1 unit per | B. Maximum density. The maximum densit y for the RMP zone is stated in Table 120 -4. There is | no maximum density for any other multi-dwelling zone. All new housing built, or converted"
or/multnomah/portland,RM3,parking_max_per_unit,unit_lots,stated,"or/multnomah/portland/33.266.txt#L159,L163-L164","Household Living 1 per 2 units No maximum, except 1.35 | Houses, attached houses | and duplexes are exempt."
or/multnomah/portland,RM4,max_density_du_per_acre,,stated,"or/multnomah/portland/33.120.txt#L519,L810-L811","Maximum Density none none none none none 1 unit per | B. Maximum density. The maximum densit y for the RMP zone is stated in Table 120 -4. There is | no maximum density for any other multi-dwelling zone. All new housing built, or converted"
or/multnomah/portland,RM4,parking_max_per_unit,unit_lots,stated,"or/multnomah/portland/33.266.txt#L159,L163-L164","Household Living 1 per 2 units No maximum, except 1.35 | Houses, attached houses | and duplexes are exempt."
or/multnomah/portland,RMP,open_space_min_sqft,,stated,or/multnomah/portland/33.120.txt#L1487-L1491,"B. Outdoor area and common area requirements. In the RM1 through RM4 zones, on sites | with a residential use, both outdoor and common areas are required. Required common | area may count toward required outdoor area, but individual private outdoor area may not | count toward required common area. T"
or/multnomah/portland,RMP,parking_max_per_unit,unit_lots,stated,"or/multnomah/portland/33.266.txt#L159,L163-L164","Household Living 1 per 2 units No maximum, except 1.35 | Houses, attached houses | and duplexes are exempt."
or/multnomah/portland,RX,max_density_du_per_acre,,stated,"or/multnomah/portland/33.120.txt#L519,L810-L811","Maximum Density none none none none none 1 unit per | B. Maximum density. The maximum densit y for the RMP zone is stated in Table 120 -4. There is | no maximum density for any other multi-dwelling zone. All new housing built, or converted"
or/multnomah/portland,RX,open_space_min_sqft,,stated,or/multnomah/portland/33.120.txt#L1487-L1491,"B. Outdoor area and common area requirements. In the RM1 through RM4 zones, on sites | with a residential use, both outdoor and common areas are required. Required common | area may count toward required outdoor area, but individual private outdoor area may not | count toward required common area. T"
or/multnomah/portland,RX,parking_max_per_unit,unit_lots,stated,"or/multnomah/portland/33.266.txt#L159,L163-L164","Household Living 1 per 2 units No maximum, except 1.35 | Houses, attached houses | and duplexes are exempt."
or/multnomah/troutdale,(default),parking_max_per_unit,,stated,"or/multnomah/troutdale/9.parking.txt#L82,L87,L92","Residential Land Use Minimum Maximum | Triplex and Quadplex | • Lot size of 7,000 sq. ft. or 3 spaces total per triplex No maximum"
or/multnomah/troutdale,HDR,max_density_du_per_acre,,stated,"or/multnomah/troutdale/3.zoning-districts.txt#L506,L519-L522","B. Maximum density. | 4. Other residential development. Maximum density standards shall not apply to duplex, | triplex, quadplex, cottage cluster projects, or vertical mixed-use development on a | dwelling units per net acre calculation and are instead regulated by development | provisions of the co"
or/multnomah/troutdale,LDR-1,max_density_du_per_acre,,stated,"or/multnomah/troutdale/3.zoning-districts.txt#L506,L519-L522","B. Maximum density. | 4. Other residential development. Maximum density standards shall not apply to duplex, | triplex, quadplex, cottage cluster projects, or vertical mixed-use development on a | dwelling units per net acre calculation and are instead regulated by development | provisions of the co"
or/multnomah/troutdale,LDR-1,min_lot_depth_ft,unit_lots,stated,"or/multnomah/troutdale/3.zoning-districts.txt#L343-L344,L347",MDR HDR | Dimensional Standard LDR-1 LDR-2 MDR (TC) HDR (TC) | Minimum lot depth (ft.) none none none none none none
or/multnomah/troutdale,LDR-1,min_lot_sqft,unit_lots,stated,"or/multnomah/troutdale/3.zoning-districts.txt#L343-L344,L345",MDR HDR | Dimensional Standard LDR-1 LDR-2 MDR (TC) HDR (TC) | Minimum lot size (sq. ft.) none none none none none none
or/multnomah/troutdale,LDR-1,min_lot_width_ft,unit_lots,stated,"or/multnomah/troutdale/3.zoning-districts.txt#L343-L344,L346",MDR HDR | Dimensional Standard LDR-1 LDR-2 MDR (TC) HDR (TC) | Minimum lot width (ft.) none none none none none none
or/multnomah/troutdale,LDR-2,max_density_du_per_acre,,stated,"or/multnomah/troutdale/3.zoning-districts.txt#L506,L519-L522","B. Maximum density. | 4. Other residential development. Maximum density standards shall not apply to duplex, | triplex, quadplex, cottage cluster projects, or vertical mixed-use development on a | dwelling units per net acre calculation and are instead regulated by development | provisions of the co"
or/multnomah/troutdale,LDR-2,min_lot_depth_ft,unit_lots,stated,"or/multnomah/troutdale/3.zoning-districts.txt#L343-L344,L347",MDR HDR | Dimensional Standard LDR-1 LDR-2 MDR (TC) HDR (TC) | Minimum lot depth (ft.) none none none none none none
