layer,ref,mentions,binding,sources,sample,ruling
or/clackamas/lake-oswego,46A,4,1,50.04.dimensional.txt,[Cross-References: Height Limitation: see Charter Section 46A for 50 ft. Maximum Height of Structures in Residential Areas; Height Measure: see LOC § 50.04.003.,
or/multnomah/_unincorporated,39.3120,4,1,39.oci.txt 39.or.txt,"(A) Except as provided in MCC 39.3120,",
or/clackamas/_unincorporated,106,3,1,zdo.315.txt,"In the PMD District, uses similar to one or more of the listed uses for the PMD District may be authorized pursuant to Section 106, Authorizations of Similar Us",
or/clackamas/_unincorporated,845.02,3,1,zdo.845.txt,"Exemptions: Subsections 845.02 through 845.04 do not apply to middle housing created through a conversion of the following, provided the conversion does not add",
or/clackamas/_unincorporated,847,3,1,zdo.315.txt zdo.202.definitions.txt,DWELLING: A building that contains one or more dwelling units. A dwelling may be a residential trailer or a manufactured dwelling but not a recreational vehicle,
or/clackamas/happy-valley,16.50.080,3,1,16.63.land-divisions.txt 16.42.landscaping.txt,"Final public infrastructure inspection and authorization to submit building permits may occur prior to the landscaping requirements having been met, provided th",
or/multnomah/_unincorporated,33.205,3,1,33.110.txt,(See Chapter 33.205)                                                               Yes                                  Yes                                   Ye,
or/multnomah/gresham,6.0500,3,1,4.0100.residential.txt 3.0100.definitions.txt,with Section 6.0500.,
or/clackamas/_unincorporated,1012.07,2,1,zdo.1012.txt,"Duplexes in the RA-1 District: In the RA-1 District, there is no minimum lot size for a lot or parcel to be developed with duplexes pursuant to Section 1203, Co",
or/clackamas/_unincorporated,839,2,1,zdo.315.txt,"Accessory Dwelling Units, subject to Section 839",
or/clackamas/happy-valley,16.69.010,2,1,16.22.residential.txt 16.63.land-divisions.txt,Temporary buildings for uses incidental to construction work subject to the provisions of Section 16.69.010—Such buildings shall be removed upon completion or a,
or/clackamas/rivergrove,5.010,2,1,rldo.composite.txt,Section 5.010.  Land Use.           All land within the city of Rivergrove is zoned residential.  The,
or/clackamas/rivergrove,6.221,2,1,rldo.composite.txt,changed according to the provisions of Section 6.221 or by legislative action.  A change in,
or/multnomah/_unincorporated,39.3090,2,1,39.rural-residential.txt,"(A) Except as provided in MCC 39.3090,",
or/multnomah/_unincorporated,39.8610,2,1,39.mr-4.txt 39.pd.txt,development standards of MCC 39.8610;,
or/multnomah/gresham,7.05,2,1,4.0400.corridor.txt,a.                                   Triangle Area. For lands in the Triangle Area as described in Section 7.05         10                                      ,
or/multnomah/wood-village,350,2,1,230.310.txt 235.390.txt,"(5)See Section 350 – Landscaping and Screening for a description of the landscape standards (i.e., L1, F2, etc.).",
or/multnomah/wood-village,450,2,1,230.310.txt 235.310.txt,A. Minimum Lot Size and Dimension. There is no minimum lot size or dimension for development of land or creation of new lots in commercial zones. Creation of ne,
